genus	class	phylum
Roseiflexus	Chloroflexia	Chloroflexota
NA	NA	Planctomycetota
Ferrimicrobium	Acidimicrobiia	Actinomycetota
Legionella	Gammaproteobacteria	Pseudomonadota
Pseudarthrobacter	Actinomycetes	Actinomycetota
Actinocrispum	Actinomycetes	Actinomycetota
Sinirhodobacter	Alphaproteobacteria	Pseudomonadota
Echinimonas	Gammaproteobacteria	Pseudomonadota
Virgibacillus	Bacilli	Bacillota
Nguyenibacter	Alphaproteobacteria	Pseudomonadota
Pannonibacter	Alphaproteobacteria	Pseudomonadota
Halioglobus	Gammaproteobacteria	Pseudomonadota
Dyella	Gammaproteobacteria	Pseudomonadota
Dehalogenimonas	Dehalococcoidia	Chloroflexota
Vannielia	Alphaproteobacteria	Pseudomonadota
Kordia	Flavobacteriia	Bacteroidota
Caenibius	Alphaproteobacteria	Pseudomonadota
Millisia	Actinomycetes	Actinomycetota
Flavihumibacter	Chitinophagia	Bacteroidota
Fictibacillus	Bacilli	Bacillota
Psychrobacillus	Bacilli	Bacillota
Pectobacterium	Gammaproteobacteria	Pseudomonadota
Sanguibacter	Actinomycetes	Actinomycetota
Kribbia	Actinomycetes	Actinomycetota
Sulfuritalea	Betaproteobacteria	Pseudomonadota
NA	NA	Pseudomonadota
Noviherbaspirillum	Betaproteobacteria	Pseudomonadota
Pseudoroseomonas	Alphaproteobacteria	Pseudomonadota
Sediminicoccus	Alphaproteobacteria	Pseudomonadota
Thalassobacillus	Bacilli	Bacillota
Rickettsiella	Gammaproteobacteria	Pseudomonadota
Loktanella	Alphaproteobacteria	Pseudomonadota
Membranihabitans	Saprospiria	Bacteroidota
Sphingomicrobium	Alphaproteobacteria	Pseudomonadota
Glaciimonas	Betaproteobacteria	Pseudomonadota
Salimicrobium	Bacilli	Bacillota
Hydrogenophaga	Betaproteobacteria	Pseudomonadota
Nitrosospira	Betaproteobacteria	Pseudomonadota
Acidisphaera	Alphaproteobacteria	Pseudomonadota
Oceaniovalibus	Alphaproteobacteria	Pseudomonadota
Tanticharoenia	Alphaproteobacteria	Pseudomonadota
Cardinium	Cytophagia	Bacteroidota
Desulfuromonas	Desulfuromonadia	Thermodesulfobacteriota
Pseudorhizobium	Alphaproteobacteria	Pseudomonadota
Ideonella	Betaproteobacteria	Pseudomonadota
Nitrospira	Nitrospiria	Nitrospirota
Komagataeibacter	Alphaproteobacteria	Pseudomonadota
Mucilaginibacter	Sphingobacteriia	Bacteroidota
Nocardiopsis	Actinomycetes	Actinomycetota
Pseudorhodoplanes	Alphaproteobacteria	Pseudomonadota
Oscillibacter	Clostridia	Bacillota
Hydrobacter	Chitinophagia	Bacteroidota
Mesotoga	Thermotogae	Thermotogota
Methylobacillus	Betaproteobacteria	Pseudomonadota
Iodidimonas	Alphaproteobacteria	Pseudomonadota
Halalkalibacter	Bacilli	Bacillota
Piscirickettsia	Gammaproteobacteria	Pseudomonadota
Caenispirillum	Alphaproteobacteria	Pseudomonadota
NA	NA	Bacillota
Sodalis	Gammaproteobacteria	Pseudomonadota
Mariniradius	Cytophagia	Bacteroidota
Blastopirellula	Planctomycetia	Planctomycetota
Cystobacter	Myxococcia	Myxococcota
Leuconostoc	Bacilli	Bacillota
Scytonema	Cyanophyceae	Cyanobacteriota
Desulfamplus	Desulfobacteria	Thermodesulfobacteriota
Verticiella	Betaproteobacteria	Pseudomonadota
Leucothrix	Gammaproteobacteria	Pseudomonadota
Pseudooceanicola	Alphaproteobacteria	Pseudomonadota
Blastomonas	Alphaproteobacteria	Pseudomonadota
Porphyrobacter	Alphaproteobacteria	Pseudomonadota
Bacterioplanes	Gammaproteobacteria	Pseudomonadota
Imhoffiella	Gammaproteobacteria	Pseudomonadota
Gillisia	Flavobacteriia	Bacteroidota
Psychroserpens	Flavobacteriia	Bacteroidota
Salipiger	Alphaproteobacteria	Pseudomonadota
Roseomonas	Alphaproteobacteria	Pseudomonadota
Ornithinimicrobium	Actinomycetes	Actinomycetota
Sorangium	NA	Myxococcota
Pediococcus	Bacilli	Bacillota
Lederbergia	Bacilli	Bacillota
Peptostreptococcus	Clostridia	Bacillota
Pseudacidovorax	Betaproteobacteria	Pseudomonadota
Cellulomonas	Actinomycetes	Actinomycetota
Geobacter	Desulfuromonadia	Thermodesulfobacteriota
Citrobacter	Gammaproteobacteria	Pseudomonadota
Mangrovibacterium	Bacteroidia	Bacteroidota
Aromatoleum	Betaproteobacteria	Pseudomonadota
Anaerostipes	Clostridia	Bacillota
Tamaricihabitans	Actinomycetes	Actinomycetota
Dialister	Negativicutes	Bacillota
Odoribacter	Bacteroidia	Bacteroidota
Phormidium	Cyanophyceae	Cyanobacteriota
Zavarzinia	Alphaproteobacteria	Pseudomonadota
Pseudohaliea	Gammaproteobacteria	Pseudomonadota
Caldimonas	Betaproteobacteria	Pseudomonadota
Colwellia	Gammaproteobacteria	Pseudomonadota
Curvibacter	Betaproteobacteria	Pseudomonadota
Rhodopirellula	Planctomycetia	Planctomycetota
Brochothrix	Bacilli	Bacillota
Glaciihabitans	Actinomycetes	Actinomycetota
Salinicola	Gammaproteobacteria	Pseudomonadota
Croceibacterium	Alphaproteobacteria	Pseudomonadota
Brevirhabdus	Alphaproteobacteria	Pseudomonadota
NA	Actinomycetes	Actinomycetota
Frondihabitans	Actinomycetes	Actinomycetota
Galbitalea	Actinomycetes	Actinomycetota
Diaminobutyricibacter	Actinomycetes	Actinomycetota
Taibaiella	Chitinophagia	Bacteroidota
Micrococcus	Actinomycetes	Actinomycetota
Thiohalobacter	Gammaproteobacteria	Pseudomonadota
Dermacoccus	Actinomycetes	Actinomycetota
Enterobacter	Gammaproteobacteria	Pseudomonadota
Thiobaca	Gammaproteobacteria	Pseudomonadota
Caldibacillus	Bacilli	Bacillota
Paeniglutamicibacter	Actinomycetes	Actinomycetota
Staphylococcus	Bacilli	Bacillota
Myxococcus	Myxococcia	Myxococcota
Psychromonas	Gammaproteobacteria	Pseudomonadota
Oceanimonas	Gammaproteobacteria	Pseudomonadota
Novispirillum	Alphaproteobacteria	Pseudomonadota
Butyrivibrio	Clostridia	Bacillota
Enterocloster	Clostridia	Bacillota
Aliiruegeria	Alphaproteobacteria	Pseudomonadota
Shimia	Alphaproteobacteria	Pseudomonadota
Acidiferrobacter	Gammaproteobacteria	Pseudomonadota
Uruburuella	Betaproteobacteria	Pseudomonadota
Conexibacter	Thermoleophilia	Actinomycetota
Methylohalobius	Gammaproteobacteria	Pseudomonadota
Paramagnetospirillum	Alphaproteobacteria	Pseudomonadota
Tessaracoccus	Actinomycetes	Actinomycetota
Pandoraea	Betaproteobacteria	Pseudomonadota
Methylophaga	Gammaproteobacteria	Pseudomonadota
Peptoclostridium	Clostridia	Bacillota
Crassaminicella	Clostridia	Bacillota
Robertmurraya	Bacilli	Bacillota
Nioella	Alphaproteobacteria	Pseudomonadota
Anaerococcus	Tissierellia	Bacillota
Diaphorobacter	Betaproteobacteria	Pseudomonadota
Magnetospira	Alphaproteobacteria	Pseudomonadota
Paenarthrobacter	Actinomycetes	Actinomycetota
Geobacillus	Bacilli	Bacillota
Swingsia	Alphaproteobacteria	Pseudomonadota
Aquitalea	Betaproteobacteria	Pseudomonadota
Xanthomonas	Gammaproteobacteria	Pseudomonadota
Desulfosarcina	Desulfobacteria	Thermodesulfobacteriota
Rhodothermus	Rhodothermia	Rhodothermota
Croceicoccus	Alphaproteobacteria	Pseudomonadota
Methylogaea	Gammaproteobacteria	Pseudomonadota
Photobacterium	Gammaproteobacteria	Pseudomonadota
Larsenimonas	Gammaproteobacteria	Pseudomonadota
Azoarcus	Betaproteobacteria	Pseudomonadota
Merismopedia	Cyanophyceae	Cyanobacteriota
Aquimarina	Flavobacteriia	Bacteroidota
Paucilactobacillus	Bacilli	Bacillota
Aquabacterium	Betaproteobacteria	Pseudomonadota
Anaerobacterium	Clostridia	Bacillota
Cyanobium	Cyanophyceae	Cyanobacteriota
Intestinimonas	Clostridia	Bacillota
Algimonas	Alphaproteobacteria	Pseudomonadota
Solirubrobacter	Thermoleophilia	Actinomycetota
Marmoricola	Actinomycetes	Actinomycetota
Mesobacillus	Bacilli	Bacillota
Dokdonella	Gammaproteobacteria	Pseudomonadota
Isoptericola	Actinomycetes	Actinomycetota
Anaeromyxobacter	Myxococcia	Myxococcota
Cnuella	Chitinophagia	Bacteroidota
Dactylococcopsis	Cyanophyceae	Cyanobacteriota
Caldisalinibacter	Tissierellia	Bacillota
Hassalia	Cyanophyceae	Cyanobacteriota
Dechloromonas	Betaproteobacteria	Pseudomonadota
Desulfitibacter	Clostridia	Bacillota
Citrifermentans	Desulfuromonadia	Thermodesulfobacteriota
Parapedobacter	Sphingobacteriia	Bacteroidota
Salinispora	Actinomycetes	Actinomycetota
Protofrankia	Actinomycetes	Actinomycetota
Kiritimatiella	Kiritimatiellia	Kiritimatiellota
Sedimentibacter	Tissierellia	Bacillota
Crossiella	Actinomycetes	Actinomycetota
Limnobacter	Betaproteobacteria	Pseudomonadota
Actinomyces	Actinomycetes	Actinomycetota
Williamsia	Actinomycetes	Actinomycetota
Ilumatobacter	Acidimicrobiia	Actinomycetota
Phaeobacter	Alphaproteobacteria	Pseudomonadota
Oceanicola	Alphaproteobacteria	Pseudomonadota
Oceanococcus	Gammaproteobacteria	Pseudomonadota
Pseudaestuariivita	Alphaproteobacteria	Pseudomonadota
Tistlia	Alphaproteobacteria	Pseudomonadota
Prescottella	Actinomycetes	Actinomycetota
Streptomonospora	Actinomycetes	Actinomycetota
Roseibium	Alphaproteobacteria	Pseudomonadota
Nitrospina	Nitrospinia	Nitrospinota
Muriicola	Flavobacteriia	Bacteroidota
Limisphaera	Verrucomicrobiae	Verrucomicrobiota
Aquisalimonas	Gammaproteobacteria	Pseudomonadota
Azotobacter	Gammaproteobacteria	Pseudomonadota
Desertibacillus	Bacilli	Bacillota
Acetobacterium	Clostridia	Bacillota
Arenicella	Gammaproteobacteria	Pseudomonadota
Lelliottia	Gammaproteobacteria	Pseudomonadota
Kosakonia	Gammaproteobacteria	Pseudomonadota
Thermogutta	Planctomycetia	Planctomycetota
Serratia	Gammaproteobacteria	Pseudomonadota
Variibacter	Alphaproteobacteria	Pseudomonadota
Tepidicaulis	Alphaproteobacteria	Pseudomonadota
Paradevosia	Alphaproteobacteria	Pseudomonadota
Gordonibacter	Coriobacteriia	Actinomycetota
Spiribacter	Gammaproteobacteria	Pseudomonadota
Carnimonas	Gammaproteobacteria	Pseudomonadota
Roseateles	Betaproteobacteria	Pseudomonadota
Formosa	Flavobacteriia	Bacteroidota
Nitrosomonas	Betaproteobacteria	Pseudomonadota
Sinomonas	Actinomycetes	Actinomycetota
Methylicorpusculum	Gammaproteobacteria	Pseudomonadota
Enterovirga	Alphaproteobacteria	Pseudomonadota
Olsenella	Coriobacteriia	Actinomycetota
Bryobacter	Terriglobia	Acidobacteriota
Rehaibacterium	Gammaproteobacteria	Pseudomonadota
Sulfitobacter	Alphaproteobacteria	Pseudomonadota
Sphingorhabdus	Alphaproteobacteria	Pseudomonadota
NA	Verrucomicrobiae	Verrucomicrobiota
NA	Opitutae	Verrucomicrobiota
Anaerosalibacter	Tissierellia	Bacillota
Naumannella	Actinomycetes	Actinomycetota
Priestia	Bacilli	Bacillota
Candidatus Similichlamydia	Chlamydiia	Chlamydiota
Chelatococcus	Alphaproteobacteria	Pseudomonadota
Cryptosporangium	Actinomycetes	Actinomycetota
Roseimicrobium	Verrucomicrobiae	Verrucomicrobiota
Mumia	Actinomycetes	Actinomycetota
Coprobacter	Bacteroidia	Bacteroidota
Enterococcus	Bacilli	Bacillota
Allosalinactinospora	Actinomycetes	Actinomycetota
Thioclava	Alphaproteobacteria	Pseudomonadota
Xenorhabdus	Gammaproteobacteria	Pseudomonadota
Helicobacter	Epsilonproteobacteria	Campylobacterota
Idiomarina	Gammaproteobacteria	Pseudomonadota
Lactococcus	Bacilli	Bacillota
Sinorhizobium	Alphaproteobacteria	Pseudomonadota
NA	Spirochaetia	Spirochaetota
Globicatella	Bacilli	Bacillota
Knoellia	Actinomycetes	Actinomycetota
Kibdelosporangium	Actinomycetes	Actinomycetota
Consotaella	Alphaproteobacteria	Pseudomonadota
Sinosporangium	Actinomycetes	Actinomycetota
Romboutsia	Clostridia	Bacillota
Allorhizobium	Alphaproteobacteria	Pseudomonadota
Marinococcus	Bacilli	Bacillota
Planococcus	Bacilli	Bacillota
Thiocystis	Gammaproteobacteria	Pseudomonadota
Asanoa	Actinomycetes	Actinomycetota
Thalassomonas	Gammaproteobacteria	Pseudomonadota
Granulicatella	Bacilli	Bacillota
Chroococcidiopsis	Cyanophyceae	Cyanobacteriota
Nodularia	Cyanophyceae	Cyanobacteriota
Gemella	Bacilli	Bacillota
Gemmatimonas	Gemmatimonadetes	Gemmatimonadota
Roseivivax	Alphaproteobacteria	Pseudomonadota
Rufibacter	Cytophagia	Bacteroidota
Terrilactibacillus	Bacilli	Bacillota
Haloimpatiens	Clostridia	Bacillota
Pseudidiomarina	Gammaproteobacteria	Pseudomonadota
Aliihoeflea	Alphaproteobacteria	Pseudomonadota
Quatrionicoccus	Betaproteobacteria	Pseudomonadota
Sulfurisoma	Betaproteobacteria	Pseudomonadota
Thermorudis	Thermomicrobia	Thermomicrobiota
Aequorivita	Flavobacteriia	Bacteroidota
Glycocaulis	Alphaproteobacteria	Pseudomonadota
Methyloceanibacter	Alphaproteobacteria	Pseudomonadota
NA	Bacilli	Bacillota
Curtobacterium	Actinomycetes	Actinomycetota
Skermanella	Alphaproteobacteria	Pseudomonadota
Pontibacillus	Bacilli	Bacillota
Thiohalocapsa	Gammaproteobacteria	Pseudomonadota
Algisphaera	Phycisphaerae	Planctomycetota
Intrasporangium	Actinomycetes	Actinomycetota
Schmidhempelia	Gammaproteobacteria	Pseudomonadota
Primorskyibacter	Alphaproteobacteria	Pseudomonadota
Paludisphaera	Planctomycetia	Planctomycetota
Vulgatibacter	Myxococcia	Myxococcota
Labilithrix	NA	Myxococcota
Rubrobacter	Rubrobacteria	Actinomycetota
Rhizocola	Actinomycetes	Actinomycetota
Denitromonas	Betaproteobacteria	Pseudomonadota
NA	NA	Candidatus Absconditabacteria
Tardiphaga	Alphaproteobacteria	Pseudomonadota
Haloferula	Verrucomicrobiae	Verrucomicrobiota
Leisingera	Alphaproteobacteria	Pseudomonadota
Roseospira	Alphaproteobacteria	Pseudomonadota
Contendobacter	Gammaproteobacteria	Pseudomonadota
Competibacter	Gammaproteobacteria	Pseudomonadota
Clavibacter	Actinomycetes	Actinomycetota
Pseudosulfitobacter	Alphaproteobacteria	Pseudomonadota
Trichococcus	Bacilli	Bacillota
Peribacillus	Bacilli	Bacillota
Mesomycoplasma	NA	Mycoplasmatota
Lacrimispora	Clostridia	Bacillota
Orenia	Clostridia	Bacillota
Tepidibacillus	Bacilli	Bacillota
Oleiphilus	Gammaproteobacteria	Pseudomonadota
Oceanisphaera	Gammaproteobacteria	Pseudomonadota
Protochlamydia	Chlamydiia	Chlamydiota
Nucleicultrix	Alphaproteobacteria	Pseudomonadota
Polycyclovorans	Gammaproteobacteria	Pseudomonadota
Algiphilus	Gammaproteobacteria	Pseudomonadota
Anaerosolibacter	Clostridia	Bacillota
Sneathiella	Alphaproteobacteria	Pseudomonadota
Thermomonas	Gammaproteobacteria	Pseudomonadota
Methyloprofundus	Gammaproteobacteria	Pseudomonadota
Kurthia	Bacilli	Bacillota
Lacticaseibacillus	Bacilli	Bacillota
Geosporobacter	Clostridia	Bacillota
Prauserella	Actinomycetes	Actinomycetota
Mangrovactinospora	Actinomycetes	Actinomycetota
Dethiosulfatarculus	Desulfarculia	Thermodesulfobacteriota
Oricola	Alphaproteobacteria	Pseudomonadota
Atopomonas	Gammaproteobacteria	Pseudomonadota
Methylocaldum	Gammaproteobacteria	Pseudomonadota
Actibacterium	Alphaproteobacteria	Pseudomonadota
Domibacillus	Bacilli	Bacillota
Mameliella	Alphaproteobacteria	Pseudomonadota
Motilibacter	Actinomycetes	Actinomycetota
Magnetofaba	Alphaproteobacteria	Pseudomonadota
Fluviicoccus	Gammaproteobacteria	Pseudomonadota
Actinacidiphila	Actinomycetes	Actinomycetota
Chenggangzhangella	Alphaproteobacteria	Pseudomonadota
Pullulanibacillus	Bacilli	Bacillota
Criblamydia	Chlamydiia	Chlamydiota
Methylobrevis	Alphaproteobacteria	Pseudomonadota
Maricaulis	Alphaproteobacteria	Pseudomonadota
Luteibacter	Gammaproteobacteria	Pseudomonadota
Chryseomicrobium	Bacilli	Bacillota
Sphaerisporangium	Actinomycetes	Actinomycetota
Dankookia	Alphaproteobacteria	Pseudomonadota
Acuticoccus	Alphaproteobacteria	Pseudomonadota
Kitasatospora	Actinomycetes	Actinomycetota
Phenylobacterium	Alphaproteobacteria	Pseudomonadota
Gynuella	Gammaproteobacteria	Pseudomonadota
Lutimonas	Flavobacteriia	Bacteroidota
Youhaiella	Alphaproteobacteria	Pseudomonadota
Wenxinia	Alphaproteobacteria	Pseudomonadota
Candidatus Fervidibacter	NA	Candidatus Fervidibacteria
Crenobacter	Betaproteobacteria	Pseudomonadota
Tahibacter	Gammaproteobacteria	Pseudomonadota
Magnetobacterium	Nitrospiria	Nitrospirota
Hylemonella	Betaproteobacteria	Pseudomonadota
Serpentinimonas	Betaproteobacteria	Pseudomonadota
Phaeomarinobacter	Alphaproteobacteria	Pseudomonadota
Okeania	Cyanophyceae	Cyanobacteriota
Sporosarcina	Bacilli	Bacillota
Microbispora	Actinomycetes	Actinomycetota
Aestuariispira	Alphaproteobacteria	Pseudomonadota
Mobilitalea	Clostridia	Bacillota
Klebsiella	Gammaproteobacteria	Pseudomonadota
Qipengyuania	Alphaproteobacteria	Pseudomonadota
Bifidobacterium	Actinomycetes	Actinomycetota
Sporolactobacillus	Bacilli	Bacillota
Oceanobacillus	Bacilli	Bacillota
Motiliproteus	Gammaproteobacteria	Pseudomonadota
Delftia	Betaproteobacteria	Pseudomonadota
Carbonactinospora	Actinomycetes	Actinomycetota
Salinibacter	Rhodothermia	Rhodothermota
Azospira	Betaproteobacteria	Pseudomonadota
Kineothrix	Clostridia	Bacillota
Aestuariicella	Gammaproteobacteria	Pseudomonadota
Zhongshania	Gammaproteobacteria	Pseudomonadota
Humidesulfovibrio	Desulfovibrionia	Thermodesulfobacteriota
Aestuariivita	Alphaproteobacteria	Pseudomonadota
NA	Bacteroidia	Bacteroidota
Belliella	Cytophagia	Bacteroidota
Enorma	Coriobacteriia	Actinomycetota
Petrotoga	Thermotogae	Thermotogota
Litoribrevibacter	Gammaproteobacteria	Pseudomonadota
Roseiarcus	Alphaproteobacteria	Pseudomonadota
Paludibaculum	Terriglobia	Acidobacteriota
Mizugakiibacter	Gammaproteobacteria	Pseudomonadota
Heyndrickxia	Bacilli	Bacillota
Hafnia	Gammaproteobacteria	Pseudomonadota
Hartmannibacter	Alphaproteobacteria	Pseudomonadota
Alcaligenes	Betaproteobacteria	Pseudomonadota
Tamilnaduibacter	Gammaproteobacteria	Pseudomonadota
Lichenicola	Alphaproteobacteria	Pseudomonadota
Rhodoferax	Betaproteobacteria	Pseudomonadota
Cecembia	Cytophagia	Bacteroidota
Crenalkalicoccus	Alphaproteobacteria	Pseudomonadota
Enterobacillus	Gammaproteobacteria	Pseudomonadota
Actinoallomurus	Actinomycetes	Actinomycetota
Paramesorhizobium	Alphaproteobacteria	Pseudomonadota
Sporohalobacter	Clostridia	Bacillota
Listeria	Bacilli	Bacillota
Thermopetrobacter	Alphaproteobacteria	Pseudomonadota
Methyloterricola	Gammaproteobacteria	Pseudomonadota
Salmonella	Gammaproteobacteria	Pseudomonadota
Clostridioides	Clostridia	Bacillota
Stackebrandtia	Actinomycetes	Actinomycetota
Neosynechococcus	Cyanophyceae	Cyanobacteriota
NA	Thermoleophilia	Actinomycetota
Hathewaya	Clostridia	Bacillota
Finegoldia	Tissierellia	Bacillota
Rhizobacter	Betaproteobacteria	Pseudomonadota
Halopolyspora	Actinomycetes	Actinomycetota
Palleronia	Alphaproteobacteria	Pseudomonadota
Thiopseudomonas	Gammaproteobacteria	Pseudomonadota
Kamptonema	Cyanophyceae	Cyanobacteriota
Alsobacter	Alphaproteobacteria	Pseudomonadota
Anoxybacillus	Bacilli	Bacillota
Evansella	Bacilli	Bacillota
Alteraurantiacibacter	Alphaproteobacteria	Pseudomonadota
Pseudocitrobacter	Gammaproteobacteria	Pseudomonadota
Emcibacter	Alphaproteobacteria	Pseudomonadota
Convivina	Bacilli	Bacillota
Dakarella	Betaproteobacteria	Pseudomonadota
Iodobacter	Betaproteobacteria	Pseudomonadota
Desulfoprunum	Desulfobulbia	Thermodesulfobacteriota
Cognatiyoonia	Alphaproteobacteria	Pseudomonadota
Aureibacillus	Bacilli	Bacillota
Plastoroseomonas	Alphaproteobacteria	Pseudomonadota
Thermoclostridium	Clostridia	Bacillota
Permianibacter	Gammaproteobacteria	Pseudomonadota
Ascidiaceihabitans	Alphaproteobacteria	Pseudomonadota
Rahnella	Gammaproteobacteria	Pseudomonadota
Desulfocurvibacter	Desulfovibrionia	Thermodesulfobacteriota
Aquisphaera	Planctomycetia	Planctomycetota
Rouxiella	Gammaproteobacteria	Pseudomonadota
Neolewinella	Saprospiria	Bacteroidota
Amphiplicatus	Alphaproteobacteria	Pseudomonadota
Starkeya	Alphaproteobacteria	Pseudomonadota
Chloroflexus	Chloroflexia	Chloroflexota
Aurantimonas	Alphaproteobacteria	Pseudomonadota
Numidum	Bacilli	Bacillota
Nigerium	Actinomycetes	Actinomycetota
Metabacillus	Bacilli	Bacillota
Labedella	Actinomycetes	Actinomycetota
Jiangella	Actinomycetes	Actinomycetota
Pseudohongiella	Gammaproteobacteria	Pseudomonadota
Litorivivens	Gammaproteobacteria	Pseudomonadota
Pseudactinotalea	Actinomycetes	Actinomycetota
Moorella	Clostridia	Bacillota
NA	NA	Bacteroidota
Alkalimonas	Gammaproteobacteria	Pseudomonadota
Sinisalibacter	Alphaproteobacteria	Pseudomonadota
Lacimicrobium	Gammaproteobacteria	Pseudomonadota
Aquisalinus	Alphaproteobacteria	Pseudomonadota
Chitinibacter	Betaproteobacteria	Pseudomonadota
Oryzisolibacter	Betaproteobacteria	Pseudomonadota
Hydromonas	Betaproteobacteria	Pseudomonadota
Mangrovibacter	Gammaproteobacteria	Pseudomonadota
Oceanicaulis	Alphaproteobacteria	Pseudomonadota
Kozakia	Alphaproteobacteria	Pseudomonadota
Sporocytophaga	Cytophagia	Bacteroidota
Emticicia	Cytophagia	Bacteroidota
Thiogranum	Gammaproteobacteria	Pseudomonadota
Pseudochelatococcus	Alphaproteobacteria	Pseudomonadota
Aeromicrobium	Actinomycetes	Actinomycetota
Alteriqipengyuania	Alphaproteobacteria	Pseudomonadota
Dinghuibacter	Chitinophagia	Bacteroidota
Bombella	Alphaproteobacteria	Pseudomonadota
Halotia	Cyanophyceae	Cyanobacteriota
Spirochaeta	Spirochaetia	Spirochaetota
Prolixibacter	Bacteroidia	Bacteroidota
Georgenia	Actinomycetes	Actinomycetota
NA	Candidatus Izimaplasma	Mycoplasmatota
Oleiagrimonas	Gammaproteobacteria	Pseudomonadota
Nitrospirillum	Alphaproteobacteria	Pseudomonadota
Plantactinospora	Actinomycetes	Actinomycetota
Nitrincola	Gammaproteobacteria	Pseudomonadota
Cephaloticoccus	Opitutae	Verrucomicrobiota
Aureibaculum	Flavobacteriia	Bacteroidota
Woeseia	Gammaproteobacteria	Pseudomonadota
Oceanicella	Alphaproteobacteria	Pseudomonadota
Quisquiliibacterium	Betaproteobacteria	Pseudomonadota
Sapientia	Betaproteobacteria	Pseudomonadota
Siculibacillus	Alphaproteobacteria	Pseudomonadota
Kiloniella	Alphaproteobacteria	Pseudomonadota
Thermoanaerobacterium	Clostridia	Bacillota
Aetokthonos	Cyanophyceae	Cyanobacteriota
Aquisediminimonas	Alphaproteobacteria	Pseudomonadota
Corticibacter	Betaproteobacteria	Pseudomonadota
Fulvimonas	Gammaproteobacteria	Pseudomonadota
Zoogloea	Betaproteobacteria	Pseudomonadota
Mycoavidus	Betaproteobacteria	Pseudomonadota
Falsigemmobacter	Alphaproteobacteria	Pseudomonadota
Gallibacterium	Gammaproteobacteria	Pseudomonadota
Sulfuriferula	Betaproteobacteria	Pseudomonadota
Silvibacterium	Terriglobia	Acidobacteriota
Labrenzia	Alphaproteobacteria	Pseudomonadota
Microbulbifer	Gammaproteobacteria	Pseudomonadota
Desulfurella	Desulfurellia	Campylobacterota
Herbinix	Clostridia	Bacillota
Gracilibacillus	Bacilli	Bacillota
Limoniibacter	Alphaproteobacteria	Pseudomonadota
Rugosibacter	Betaproteobacteria	Pseudomonadota
NA	NA	Verrucomicrobiota
Cedecea	Gammaproteobacteria	Pseudomonadota
Magnetococcus	Alphaproteobacteria	Pseudomonadota
Boudabousia	Actinomycetes	Actinomycetota
Seohaeicola	Alphaproteobacteria	Pseudomonadota
Dysgonomonas	Bacteroidia	Bacteroidota
Treponema	Spirochaetia	Spirochaetota
Thioflexithrix	Gammaproteobacteria	Pseudomonadota
NA	Clostridia	Bacillota
Xylanibacillus	Bacilli	Bacillota
Gellertiella	Alphaproteobacteria	Pseudomonadota
Lyngbya	Cyanophyceae	Cyanobacteriota
Sterolibacterium	Betaproteobacteria	Pseudomonadota
Planctomicrobium	Planctomycetia	Planctomycetota
NA	NA	candidate division WWE3
Terracidiphilus	Terriglobia	Acidobacteriota
Phaeocystidibacter	Flavobacteriia	Bacteroidota
Lactobacillus	Bacilli	Bacillota
Cellulosimicrobium	Actinomycetes	Actinomycetota
Methylopumilus	Betaproteobacteria	Pseudomonadota
Sphaerochaeta	Spirochaetia	Spirochaetota
Leminorella	Gammaproteobacteria	Pseudomonadota
Megamonas	Negativicutes	Bacillota
Yokenella	Gammaproteobacteria	Pseudomonadota
Lactiplantibacillus	Bacilli	Bacillota
Desulfonatronum	Desulfovibrionia	Thermodesulfobacteriota
Ligilactobacillus	Bacilli	Bacillota
Anaerotignum	Clostridia	Bacillota
Samsonia	Gammaproteobacteria	Pseudomonadota
Acidihalobacter	Gammaproteobacteria	Pseudomonadota
Raoultella	Gammaproteobacteria	Pseudomonadota
Tianweitania	Alphaproteobacteria	Pseudomonadota
Henriciella	Alphaproteobacteria	Pseudomonadota
Euzebya	Nitriliruptoria	Actinomycetota
Hydrogenibacillus	Bacilli	Bacillota
Halofilum	Gammaproteobacteria	Pseudomonadota
Thermodesulfobacterium	Thermodesulfobacteria	Thermodesulfobacteriota
Niveispirillum	Alphaproteobacteria	Pseudomonadota
Methylocapsa	Alphaproteobacteria	Pseudomonadota
Pararhizobium	Alphaproteobacteria	Pseudomonadota
Planomonospora	Actinomycetes	Actinomycetota
Mixta	Gammaproteobacteria	Pseudomonadota
Acidicapsa	Terriglobia	Acidobacteriota
Catellatospora	Actinomycetes	Actinomycetota
Geminocystis	Cyanophyceae	Cyanobacteriota
NA	NA	Candidatus Berkelbacteria
NA	NA	Candidatus Wolfebacteria
Duffyella	Gammaproteobacteria	Pseudomonadota
Sulfuricaulis	Gammaproteobacteria	Pseudomonadota
Haliangium	NA	Myxococcota
Paraglaciecola	Gammaproteobacteria	Pseudomonadota
Desulfofervidus	Candidatus Desulfofervidia	Thermodesulfobacteriota
Peptoniphilus	Tissierellia	Bacillota
Gemmiger	Clostridia	Bacillota
Oerskovia	Actinomycetes	Actinomycetota
Carboxylicivirga	Bacteroidia	Bacteroidota
Mariniphaga	Bacteroidia	Bacteroidota
Hahella	Gammaproteobacteria	Pseudomonadota
Specibacter	Actinomycetes	Actinomycetota
Rubeoparvulum	Bacilli	Bacillota
Luteipulveratus	Actinomycetes	Actinomycetota
Brevibacterium	Actinomycetes	Actinomycetota
Hydrogenobacter	Aquificae	Aquificota
Planctomyces	Planctomycetia	Planctomycetota
